Train No,Train name,Source Station,Destination Station
12854,AMARKANTAK EXP,BHOPAL JN (BPL),DURG (DURG)
15097,AMARNATH EXP,BARAUNI JN (BJU),JAMMU TAWI (JAT)
15098,AMARNATH EXP,JAMMU TAWI (JAT),BARAUNI JN (BJU)
15653,AMARNATH EXPRESS,GUWAHATI (GHY),JAMMU TAWI (JAT)
11265,AMBIKAPUR EXPRES,JABALPUR (JBP),AMBIKAPUR (ABKP)
12119,AMI NAGPUR EXP,AMRAVATI (AMI),NAGPUR (NGP)
12112,AMRAVATI CSTM EX,AMRAVATI (AMI),MUMBAI CST (CSTM)
16343,AMRITHA EXPRESS,TRIVANDRUM CNTL (TVC),PALGHAT TOWN (PGTN)
16344,AMRITHA EXPRESS,PALGHAT TOWN (PGTN),TRIVANDRUM CNTL (TVC)
13049,AMRITSAR EXP,HOWRAH JN (HWH),AMRITSAR JN (ASR)
12483,AMRITSAR EXP,KOCHUVELI (KCVL),AMRITSAR JN (ASR)
11057,AMRITSAR EXPRESS,DADAR (DR),AMRITSAR JN (ASR)
11057,AMRITSAR EXPRESS(route2),DADAR (DR),DHULE (DHI)
13005,AMRITSAR MAIL,HOWRAH JN (HWH),AMRITSAR JN (ASR)
12013,AMRITSAR SHTBDI,NEW DELHI (NDLS),AMRITSAR JN (ASR)
12031,AMRITSAR SHTBDI,NEW DELHI (NDLS),AMRITSAR JN (ASR)
12014,AMRITSAR SHTBDI,AMRITSAR JN (ASR),NEW DELHI (NDLS)
12032,AMRITSAR SHTBDI,AMRITSAR JN (ASR),NEW DELHI (NDLS)
16724,ANANTAPURI EXP,TRIVANDRUM CNTL (TVC),CHENNAI EGMORE (MS)
16723,ANANTAPURI EXP,CHENNAI EGMORE (MS),TRIVANDRUM CNTL (TVC)
12316,ANANYA EXPRESS,UDAIPUR CITY (UDZ),SEALDAH (SDAH)
16032,ANDAMAN EXPRESS,JAMMU TAWI (JAT),CHENNAI CENTRAL (MAS)
16031,ANDAMAN EXPRESS,CHENNAI CENTRAL (MAS),JAMMU TAWI (JAT)
12254,ANGA EXPRESS,BHAGALPUR (BGP),YESVANTPUR JN (YPR)
12253,ANGA EXPRESS,YESVANTPUR JN (YPR),BHAGALPUR (BGP)
12315,ANNANYA EXPRESS,SEALDAH (SDAH),UDAIPUR CITY (UDZ)
350,ANVT BGP SF SPL,ANAND VIHAR TRM (ANVT),BHAGALPUR (BGP)
582,ANVT BJU SPECIAL,ANAND VIHAR TRM (ANVT),BARAUNI JN (BJU)
4204,ANVT BSB SPL,ANAND VIHAR TRM (ANVT),VARANASI JN (BSB)
4051,ANVT JAT AC SPL,ANAND VIHAR TRM (ANVT),JAMMU TAWI (JAT)
4053,ANVT JAT SPL,ANAND VIHAR TRM (ANVT),JAMMU TAWI (JAT)
12708,Ap Smprk Kranti,H NIZAMUDDIN (NZM),TIRUPATI (TPTY)
12885,ARANYAK EXPRESS,SHALIMAR (SHM),ADRA JN (ADRA)
12886,ARANYAK EXPRESS,ADRA JN (ADRA),SHALIMAR (SHM)
19707,ARAVALI EXPRESS,BANDRA TERMINUS (BDTS),JAIPUR (JP)
19708,ARAVALI EXPRESS,JAIPUR (JP),BANDRA TERMINUS (BDTS)
12356,ARCHANA EXPRESS,JAMMU TAWI (JAT),RJNDR NGR BIHAR (RJPB)
12355,ARCHNA EXPRESS,RJNDR NGR BIHAR (RJPB),JAMMU TAWI (JAT)
15813,ARUNACHAL EXP,RANGIYA JN (RNY),MURKEONGSELEK (MZS)
15814,ARUNACHAL EXP,DHEMAJI (DMC),RANGIYA JN (RNY)
12916,ASHRAM EXPRESS,DELHI (DLI),AHMEDABAD JN (ADI)
12915,ASHRAM EXPRESS,AHMEDABAD JN (ADI),DELHI (DLI)
12942,ASN ADI SUP EXP,ASANSOL JN (ASN),AHMEDABAD JN (ADI)
12361,ASN CSTM EXPRESS,ASANSOL JN (ASN),MUMBAI CST (CSTM)
15934,ASR DBRT EXPRESS,AMRITSAR JN (ASR),DIBRUGARH TOWN (DBRT)
14632,ASR DDN EXPRESS,AMRITSAR JN (ASR),DEHRADUN (DDN)
11058,ASR DR EXPRESS,AMRITSAR JN (ASR),DADAR (DR)
12054,Asr Hw Jnshtbdi,AMRITSAR JN (ASR),HARIDWAR JN (HW)
13050,ASR HWH EXPRESS,AMRITSAR JN (ASR),HOWRAH JN (HWH)
13006,ASR HWH MAIL,AMRITSAR JN (ASR),HOWRAH JN (HWH)
19326,ASR INDB EXPRESS,AMRITSAR JN (ASR),INDORE JN BG (INDB)
19772,ASR JAIPUR EXP,AMRITSAR JN (ASR),JAIPUR (JP)
19782,ASR JP EXPRESS,AMRITSAR JN (ASR),JAIPUR (JP)
12484,ASR KCVL EXPRESS,AMRITSAR JN (ASR),KOCHUVELI (KCVL)
15708,ASR KIR EXPRESS,AMRITSAR JN (ASR),KATIHAR JN (KIR)
12460,ASR NDLS EXP,AMRITSAR JN (ASR),NEW DELHI (NDLS)
12716,ASR NED EXPRESS,AMRITSAR JN (ASR),NANDED (NED)
12318,ASR SEALDAH EXP,AMRITSAR JN (ASR),SEALDAH (SDAH)
14002,ATTARI DLI EXP,ATARI (ATT),DELHI (DLI)
12953,AUG KR RAJ EXP,MUMBAI CENTRAL (BCT),H NIZAMUDDIN (NZM)
15610,AVADH ASSAM EXP,LALGARH JN (LGH),GUWAHATI (GHY)
19040,AVADH EXPRESS,MUZAFFARPUR JN (MFP),BANDRA TERMINUS (BDTS)
19038,AVADH EXPRESS,GORAKHPUR JN (GKP),BANDRA TERMINUS (BDTS)
19037,AVADH EXPRESS,BANDRA TERMINUS (BDTS),GORAKHPUR JN (GKP)
19039,AVADH EXPRESS,BANDRA TERMINUS (BDTS),MUZAFFARPUR JN (MFP)
12961,AVANTIKA EXP,MUMBAI CENTRAL (BCT),INDORE JN BG (INDB)
12962,AVANTIKA EXP,INDORE JN BG (INDB),MUMBAI CENTRAL (BCT)
12130,AZAD HIND EXP,HOWRAH JN (HWH),PUNE JN2 (PUNE)
12129,AZAD HIND EXP,PUNE JN2 (PUNE),HOWRAH JN (HWH)
12948,AZIMABAD EXPRESS,PATNA JN (PNBE),AHMEDABAD JN (ADI)
12947,AZIMABAD EXPRESS,AHMEDABAD JN (ADI),PATNA JN (PNBE)
